x_value,total_1,total_2
165,1196,1043
166,1194,1042
167,1188,1045
168,1184,1051
169,1186,1055
170,1193,1050
171,1196,1047
172,1204,1048
173,1200,1044
174,1198,1039
175,1200,1040
176,1195,1035
177,1200,1030
178,1206,1029
179,1212,1024
180,1208,1024
181,1207,1026
182,1207,1026
183,1212,1027
184,1207,1024
185,1208,1026
186,1208,1023
187,1211,1027
188,1213,1022
189,1218,1023
190,1226,1026
191,1223,1026
192,1225,1021
193,1233,1020
194,1235,1019
195,1235,1023
196,1231,1020
197,1239,1025
198,1240,1028
199,1240,1024
200,1236,1024
201,1243,1020
202,1248,1025
203,1248,1028
204,1247,1031
205,1250,1034
206,1246,1033
207,1245,1038
208,1248,1041
209,1245,1043
210,1245,1045
211,1249,1048
212,1255,1046
213,1262,1049
214,1262,1045
215,1261,1050
216,1266,1046
217,1271,1041
218,1266,1043
219,1266,1046
220,1265,1046
221,1260,1042
222,1260,1047
223,1258,1043
224,1254,1039
225,1248,1045
226,1246,1044
227,1244,1048
228,1244,1044
229,1239,1040
230,1233,1042
231,1239,1047
232,1245,1043
233,1243,1049
234,1249,1046
235,1249,1043
236,1251,1045
237,1258,1050
238,1262,1052
239,1256,1056
240,1263,1062
241,1266,1061
242,1266,1067
243,1269,1071
244,1271,1073
245,1278,1073
246,1276,1079
247,1271,1077
248,1278,1073
249,1277,1074
250,1274,1079
251,1282,1085
252,1286,1091
253,1285,1092
254,1280,1096
255,1277,1101
256,1284,1104
257,1278,1107
258,1274,1102
259,1280,1100
260,1279,1103
261,1273,1108
262,1275,1103
263,1277,1102
264,1274,1107
265,1278,1102
266,1286,1098
267,1286,1101
268,1288,1097
269,1283,1098
270,1285,1102
271,1291,1099
272,1289,1098
273,1284,1100
274,1291,1096
275,1296,1102
276,1297,1102
277,1297,1097
278,1305,1102
279,1307,1106
280,1309,1111
281,1303,1110
282,1311,1110
283,1305,1105
284,1302,1110
285,1308,1114
286,1302,1120
287,1306,1126
288,1307,1123
289,1315,1123
290,1317,1129
291,1323,1128
292,1318,1130
293,1326,1125
294,1322,1126
295,1320,1130
296,1328,1126
297,1326,1132
298,1328,1138
299,1332,1140
300,1338,1146
301,1334,1149
302,1333,1147
303,1338,1145
304,1345,1148
305,1351,1146
306,1346,1150
307,1353,1146
308,1356,1143
309,1355,1145
310,1362,1150
311,1357,1145
312,1362,1142
313,1357,1145
314,1353,1145
315,1352,1150
316,1346,1150
317,1345,1146
318,1347,1152
319,1343,1148
320,1348,1146
321,1350,1143
322,1356,1146
323,1357,1151
324,1355,1156
325,1354,1160
326,1359,1159
327,1363,1156
328,1357,1154
329,1356,1158
330,1358,1161
331,1354,1158
332,1348,1163
333,1355,1162
334,1358,1165
335,1352,1163
336,1359,1165
337,1363,1162
338,1369,1167
339,1363,1173
340,1369,1172
341,1369,1167
342,1366,1172
343,1364,1167
344,1365,1163
345,1361,1159
346,1360,1162
347,1363,1158
348,1360,1155
349,1365,1150
350,1362,1151
351,1358,1152
352,1366,1152
353,1371,1158
354,1369,1164
355,1370,1163
356,1371,1166
357,1376,1166
358,1372,1172
359,1371,1174
360,1370,1179
361,1373,1184
362,1372,1189
363,1367,1184
364,1374,1190
365,1378,1194
366,1373,1189
367,1380,1192
368,1384,1194
369,1392,1198
370,1388,1195
371,1382,1200
372,1385,1200
373,1386,1199
374,1387,1201
375,1392,1201
376,1391,1204
377,1396,1201
378,1391,1197
379,1394,1194
380,1392,1192
381,1388,1194
382,1384,1194
383,1386,1190
384,1383,1186
385,1381,1188
386,1379,1183
387,1384,1187
388,1390,1184
389,1387,1190
390,1388,1195
391,1390,1190
392,1388,1189
393,1392,1193
394,1394,1196
395,1402,1198
396,1401,1202
397,1396,1199
398,1404,1195
399,1406,1197
400,1402,1200
401,1399,1196
402,1406,1196
403,1409,1198
404,1410,1194
405,1410,1191
406,1417,1193
407,1421,1195
408,1422,1199
409,1427,1204
410,1424,1201
411,1429,1201
412,1429,1201
413,1424,1200
414,1429,1203
415,1435,1200
416,1439,1204
417,1447,1203
418,1441,1207
419,1438,1209
420,1437,1208
421,1437,1213
422,1435,1217
423,1440,1212
424,1437,1209
425,1443,1211
426,1440,1214
427,1444,1220
428,1442,1223
429,1440,1219
430,1446,1221
431,1445,1223
432,1448,1225
433,1456,1229
434,1454,1227
435,1455,1233
436,1463,1237
437,1462,1235
438,1470,1237
439,1475,1234
440,1476,1231
441,1470,1227
442,1469,1233
443,1466,1229
444,1471,1231
445,1467,1228
446,1470,1223
447,1470,1220
448,1471,1222
449,1473,1221
450,1480,1226
451,1484,1225
452,1490,1225
453,1492,1227
454,1493,1231
455,1497,1230
456,1502,1229
457,1497,1233
458,1498,1235
459,1500,1236
460,1506,1238
461,1503,1244
462,1499,1249
463,1498,1244
464,1496,1243
465,1498,1248
466,1495,1243
467,1500,1238
468,1506,1235
469,1506,1241
470,1514,1241
471,1513,1237
472,1516,1235
473,1515,1237
474,1511,1241
475,1506,1242
476,1506,1237
477,1503,1238
478,1497,1233
479,1495,1229
480,1503,1232
481,1502,1227
482,1496,1227
483,1497,1230
484,1494,1234
485,1488,1237
486,1483,1240
487,1479,1244
488,1482,1243
489,1488,1249
490,1496,1253
491,1490,1256
492,1492,1261
493,1495,1259
494,1497,1254
495,1502,1258
496,1504,1261
497,1511,1260
498,1513,1256
499,1521,1259
500,1520,1265
501,1527,1266
502,1528,1262
503,1536,1258
504,1541,1254
505,1537,1251
506,1538,1254
507,1542,1249
508,1541,1253
509,1541,1255
510,1536,1259
511,1544,1255
512,1541,1261
513,1540,1267
514,1546,1266
515,1540,1266
516,1535,1270
517,1536,1270
518,1537,1268
519,1534,1267
520,1538,1272
521,1546,1270
522,1548,1273
523,1543,1269
524,1537,1274
525,1536,1278
526,1542,1277
527,1545,1274
528,1550,1279
529,1556,1274
530,1559,1279
531,1559,1285
532,1566,1290
533,1560,1286
534,1568,1290
535,1565,1287
536,1570,1293
537,1564,1290
538,1566,1296
539,1571,1291
540,1578,1287
541,1585,1290
542,1592,1285
543,1598,1281
544,1594,1283
545,1592,1279
546,1595,1277
547,1597,1272
548,1602,1274
549,1607,1278
550,1607,1282
551,1611,1279
552,1605,1284
553,1599,1286
554,1593,1286
555,1600,1287
556,1601,1292
557,1604,1294
558,1601,1293
559,1605,1293
560,1605,1289
561,1610,1291
562,1609,1291
563,1609,1289
564,1603,1293
565,1607,1289
566,1613,1292
567,1621,1296
568,1617,1293
569,1618,1290
570,1623,1291
571,1627,1289
572,1625,1293
573,1626,1296
574,1623,1291
575,1629,1288
576,1629,1286
577,1633,1285
578,1639,1285
579,1638,1283
580,1646,1285
581,1654,1286
582,1651,1287
583,1647,1284
584,1645,1290
585,1647,1296
586,1654,1292
587,1648,1296
588,1651,1301
589,1652,1302
590,1654,1303
591,1653,1304
592,1657,1305
593,1656,1305
594,1660,1304
595,1665,1308
596,1668,1308
597,1662,1303
598,1663,1301
599,1665,1305
600,1661,1301
601,1658,1296
602,1663,1299
603,1671,1294
604,1665,1297
605,1671,1303
606,1669,1298
607,1673,1296
608,1674,1294
609,1673,1290
610,1667,1287
611,1661,1289
612,1662,1292
613,1669,1288
614,1670,1287
615,1664,1291
616,1667,1295
617,1671,1297
618,1674,1293
619,1675,1292
620,1680,1288
621,1680,1290
622,1685,1295
623,1689,1296
624,1697,1293
625,1699,1296
626,1707,1302
627,1707,1306
628,1703,1309
629,1698,1313
630,1699,1310
631,1694,1308
632,1702,1308
633,1699,1304
634,1698,1308
635,1702,1305
636,1705,1302
637,1705,1299
638,1699,1305
639,1701,1308
640,1705,1311
641,1710,1314
642,1717,1315
643,1717,1315
644,1721,1310
645,1726,1309
646,1730,1310
647,1725,1310
648,1719,1310
649,1726,1310
650,1729,1313
651,1736,1318
652,1744,1318
653,1742,1324
654,1746,1330
655,1744,1336
656,1746,1340
657,1746,1346
658,1750,1341
659,1747,1342
660,1746,1339
661,1745,1343
662,1742,1341
663,1745,1339
664,1751,1337
665,1748,1335
666,1751,1332
667,1746,1332
668,1753,1333
669,1752,1338
670,1755,1335
671,1756,1337
672,1757,1337
673,1764,1336
674,1766,1333
675,1767,1331
676,1764,1330
677,1769,1335
678,1774,1334
679,1774,1330
680,1770,1327
681,1764,1324
682,1760,1323
683,1758,1328
684,1754,1325
685,1748,1331
686,1749,1332
687,1747,1332
688,1741,1327
689,1748,1330
690,1750,1328
691,1744,1324
692,1744,1320
693,1750,1316
694,1750,1311
695,1746,1314
696,1741,1309
697,1748,1306
698,1747,1309
699,1752,1312
700,1753,1317
701,1757,1313
702,1751,1309
703,1754,1306
704,1755,1303
705,1763,1307
706,1761,1303
707,1756,1300
708,1759,1296
709,1762,1302
710,1765,1302
711,1772,1299
712,1780,1305
713,1785,1308
714,1790,1312
715,1796,1317
716,1800,1316
717,1797,1312
718,1798,1315
719,1801,1319
720,1798,1323
721,1806,1324
722,1806,1321
723,1813,1327
724,1821,1332
725,1815,1331
726,1819,1329
727,1823,1334
728,1828,1332
729,1824,1337
730,1832,1338
731,1833,1334
732,1839,1330
733,1833,1331
734,1827,1333
735,1834,1331
736,1839,1329
737,1845,1331
738,1846,1336
739,1852,1334
740,1859,1333
741,1860,1334
742,1858,1335
743,1856,1330
744,1857,1330
745,1852,1326
746,1856,1331
747,1859,1331
748,1864,1337
749,1862,1339
750,1865,1343
751,1871,1343
752,1868,1338
753,1872,1335
754,1873,1339
755,1875,1344
756,1871,1348
757,1873,1353
758,1868,1355
759,1868,1351
760,1872,1351
761,1870,1357
762,1873,1354
763,1871,1354
764,1872,1353
765,1873,1356
766,1881,1360
767,1879,1363
768,1877,1366
769,1881,1366
770,1883,1370
771,1883,1373
772,1879,1368
773,1887,1370
774,1892,1368
775,1900,1369
776,1897,1375
777,1894,1375
778,1901,1374
779,1902,1379
780,1908,1377
781,1905,1373
782,1907,1376
783,1910,1381
784,1915,1378
785,1911,1377
786,1908,1372
787,1906,1374
788,1907,1373
789,1901,1376
790,1903,1371
791,1911,1366
792,1912,1371
793,1907,1377
794,1904,1380
795,1906,1377
796,1911,1383
797,1911,1384
798,1917,1382
799,1921,1377
800,1925,1380
801,1927,1382
802,1921,1380
803,1929,1378
804,1926,1377
805,1928,1380
806,1936,1384
807,1937,1379
808,1931,1385
809,1937,1385
810,1936,1390
811,1936,1385
812,1942,1383
813,1950,1378
814,1945,1378
815,1944,1379
816,1943,1379
817,1943,1384
818,1951,1379
819,1951,1382
820,1949,1380
821,1954,1384
822,1957,1388
823,1960,1392
824,1955,1388
825,1955,1392
826,1953,1391
827,1949,1391
828,1953,1392
829,1960,1391
830,1966,1387
831,1963,1383
832,1960,1379
833,1962,1378
834,1956,1377
835,1951,1373
836,1947,1378
837,1953,1376
838,1959,1378
839,1963,1380
840,1958,1375
841,1961,1371
842,1958,1375
843,1952,1376
844,1949,1382
845,1946,1382
846,1946,1378
847,1947,1377
848,1955,1377
849,1952,1381
850,1956,1382
851,1959,1380
852,1960,1376
853,1956,1376
854,1952,1372
855,1947,1377
856,1947,1380
857,1941,1381
858,1944,1383
859,1947,1387
860,1945,1393
861,1953,1394
862,1951,1397
863,1954,1402
864,1949,1405
865,1947,1404
866,1951,1409
867,1956,1405
868,1962,1403
869,1967,1402
870,1972,1406
871,1967,1402
872,1965,1405
873,1963,1406
874,1966,1401
875,1964,1398
876,1965,1395
877,1959,1397
878,1965,1397
879,1971,1401
880,1976,1407
881,1978,1405
882,1980,1411
883,1976,1416
884,1974,1413
885,1977,1412
886,1976,1416
887,1973,1418
888,1980,1414
889,1981,1418
890,1980,1423
891,1986,1419
892,1988,1416
893,1986,1416
894,1990,1411
895,1991,1416
896,1985,1417
897,1989,1420
898,1984,1419
899,1990,1419
900,1995,1420
901,1991,1425
902,1989,1426
903,1989,1431
904,1992,1430
905,1998,1429
906,2000,1432
907,2007,1436
908,2004,1432
909,2005,1435
910,2007,1433
911,2013,1437
912,2007,1440
913,2005,1443
914,2001,1439
915,2003,1444
916,2000,1445
917,2002,1440
918,2004,1436
919,2009,1435
920,2005,1431
921,2006,1430
922,2010,1435
923,2005,1430
924,2010,1425
925,2006,1428
926,2000,1429
927,1996,1429
928,1998,1425
929,1996,1429
930,2000,1433
931,1998,1434
932,1997,1436
933,2000,1435
934,2003,1434
935,2002,1429
936,2010,1424
937,2018,1429
938,2017,1427
939,2017,1424
940,2012,1419
941,2017,1421
942,2013,1416
943,2014,1412
944,2013,1418
945,2011,1422
946,2018,1427
947,2025,1425
948,2030,1428
949,2036,1433
950,2035,1439
951,2043,1443
952,2039,1439
953,2036,1442
954,2041,1438
955,2038,1441
956,2037,1438
957,2039,1443
958,2044,1439
959,2039,1441
960,2041,1436
961,2042,1433
962,2047,1438
963,2047,1440
964,2043,1435
965,2050,1440
966,2051,1440
967,2057,1442
968,2059,1443
969,2054,1444
970,2062,1441
971,2059,1446
972,2064,1445
973,2060,1449
974,2066,1448
975,2074,1449
976,2074,1450
977,2074,1454
978,2069,1455
979,2065,1457
980,2060,1452
981,2065,1451
982,2060,1457
983,2062,1463
984,2062,1465
985,2070,1463
986,2074,1464
987,2073,1465
988,2069,1465
989,2075,1461
990,2077,1457
991,2084,1455
992,2081,1450
993,2076,1451
994,2084,1452
995,2079,1458
996,2076,1463
997,2079,1464
998,2080,1463
999,2075,1469
1000,2073,1474
1001,2081,1472
1002,2089,1467
1003,2086,1465
1004,2086,1469
1005,2089,1467
1006,2093,1472
1007,2100,1470
1008,2102,1467
1009,2107,1471
1010,2112,1474
1011,2116,1477
1012,2115,1480
1013,2123,1478
1014,2127,1477
1015,2125,1474
1016,2129,1480
1017,2133,1476
1018,2138,1471
1019,2133,1477
1020,2139,1483
1021,2133,1489
1022,2132,1490
1023,2131,1489
1024,2139,1489
1025,2140,1484
1026,2138,1489
1027,2139,1491
1028,2146,1490
1029,2142,1485
1030,2144,1485
1031,2139,1491
1032,2146,1486
1033,2143,1482
1034,2148,1487
1035,2146,1490
1036,2152,1488
1037,2158,1487
1038,2157,1483
1039,2161,1480
1040,2165,1479
1041,2164,1476
1042,2158,1482
1043,2155,1478
1044,2154,1475
1045,2160,1480
1046,2163,1483
1047,2160,1484
1048,2168,1487
1049,2164,1484
1050,2170,1486
1051,2174,1482
1052,2169,1484
1053,2164,1483
1054,2162,1484
1055,2160,1490
1056,2165,1494
1057,2168,1499
1058,2163,1495
1059,2170,1495
1060,2170,1496
1061,2172,1498
1062,2176,1493
1063,2182,1496
1064,2177,1496
1065,2183,1499
1066,2191,1498
1067,2198,1498
1068,2196,1501
1069,2199,1502
1070,2206,1502
1071,2212,1506
1072,2214,1511
1073,2208,1515
1074,2214,1512
1075,2210,1511
1076,2213,1513
1077,2217,1510
1078,2211,1510
1079,2207,1507
1080,2212,1503
1081,2213,1505
1082,2220,1510
1083,2228,1515
1084,2223,1515
1085,2224,1516
1086,2219,1515
1087,2224,1510
1088,2230,1516
1089,2231,1521
1090,2229,1527
1091,2231,1533
1092,2238,1532
1093,2239,1530
1094,2242,1528
1095,2245,1530
1096,2244,1532
1097,2240,1529
1098,2245,1531
1099,2243,1531
1100,2242,1527
1101,2245,1525
1102,2241,1526
1103,2235,1529
1104,2231,1534
1105,2229,1539
1106,2229,1541
1107,2225,1536
1108,2221,1541
1109,2221,1540
1110,2225,1541
1111,2229,1538
1112,2237,1541
1113,2237,1539
1114,2242,1543
1115,2246,1545
1116,2240,1551
1117,2238,1549
1118,2241,1546
1119,2242,1550
1120,2246,1551
1121,2244,1554
1122,2241,1553
1123,2247,1555
1124,2252,1550
1125,2256,1552
1126,2254,1553
1127,2261,1553
1128,2255,1553
1129,2255,1554
1130,2257,1552
1131,2262,1549
1132,2260,1551
1133,2255,1551
1134,2257,1546
1135,2256,1543
1136,2255,1538
1137,2249,1543
1138,2246,1543
1139,2252,1538
1140,2255,1544
1141,2262,1549
1142,2259,1544
1143,2267,1548
1144,2262,1547
1145,2258,1553
1146,2252,1550
1147,2247,1548
1148,2253,1547
1149,2255,1553
1150,2253,1551
1151,2261,1546
1152,2263,1544
1153,2271,1539
1154,2275,1540
1155,2283,1540
1156,2283,1540
1157,2284,1535
1158,2281,1536
1159,2288,1531
1160,2291,1529
1161,2296,1531
1162,2291,1537
1163,2296,1536
1164,2295,1534
1165,2290,1539
1166,2287,1542
1167,2282,1542
1168,2286,1546
1169,2284,1548
1170,2286,1545
1171,2283,1545
1172,2284,1547
1173,2280,1543
1174,2287,1539
1175,2294,1540
1176,2288,1540
1177,2291,1546
1178,2295,1542
1179,2290,1546
1180,2298,1552
1181,2301,1547
1182,2301,1552
1183,2296,1548
1184,2291,1552
1185,2287,1558
1186,2288,1560
1187,2285,1559
1188,2290,1562
1189,2289,1559
1190,2288,1558
1191,2285,1561
1192,2286,1566
1193,2289,1561
1194,2295,1567
1195,2300,1562
1196,2305,1562
1197,2303,1566
1198,2310,1568
1199,2310,1569
1200,2312,1569
1201,2317,1567
1202,2319,1569
1203,2314,1565
1204,2316,1561
1205,2318,1558
1206,2318,1558
1207,2313,1558
1208,2309,1559
1209,2306,1554
1210,2304,1550
1211,2302,1555
1212,2309,1551
1213,2315,1546
1214,2321,1548
1215,2323,1553
1216,2324,1548
1217,2325,1548
1218,2324,1551
1219,2319,1555
1220,2319,1560
1221,2317,1561
1222,2317,1564
1223,2317,1561
1224,2325,1556
1225,2326,1557
1226,2326,1553
1227,2322,1552
1228,2318,1555
1229,2317,1560
1230,2323,1556
1231,2327,1559
1232,2330,1555
1233,2328,1554
1234,2326,1551
1235,2334,1553
1236,2337,1556
1237,2335,1553
1238,2339,1554
1239,2347,1551
1240,2350,1553
1241,2356,1552
1242,2351,1553
1243,2349,1559
1244,2352,1564
1245,2349,1566
1246,2345,1562
1247,2341,1568
1248,2335,1570
1249,2336,1566
1250,2336,1572
1251,2336,1578
1252,2331,1582
1253,2337,1586
1254,2337,1586
1255,2344,1592
1256,2345,1597
1257,2345,1593
1258,2348,1593
1259,2348,1589
1260,2348,1585
1261,2342,1586
1262,2346,1592
1263,2348,1589
1264,2349,1587
1265,2343,1588
1266,2342,1583
1267,2340,1580
1268,2336,1575
1269,2344,1578
1270,2342,1577
1271,2344,1576
1272,2351,1580
1273,2351,1580
1274,2358,1580
1275,2365,1580
1276,2365,1576
1277,2367,1571
1278,2374,1573
1279,2370,1569
1280,2367,1568
1281,2374,1563
1282,2380,1564
1283,2376,1567
1284,2383,1573
1285,2385,1578
1286,2386,1575
1287,2387,1571
1288,2385,1569
1289,2380,1567
1290,2380,1565
1291,2383,1570
1292,2387,1569
1293,2395,1571
1294,2393,1567
1295,2400,1573
1296,2399,1575
1297,2398,1577
1298,2400,1577
1299,2404,1577
1300,2403,1583
1301,2410,1587
1302,2414,1591
1303,2417,1591
1304,2421,1587
1305,2426,1584
1306,2428,1580
1307,2424,1586
1308,2432,1591
1309,2438,1596
1310,2439,1594
1311,2433,1591
1312,2429,1593
1313,2427,1595
1314,2428,1598
1315,2432,1596
1316,2428,1596
1317,2422,1591
1318,2429,1591
1319,2425,1591
1320,2428,1591
1321,2426,1587
1322,2423,1590
1323,2428,1587
1324,2430,1583
1325,2426,1578
1326,2430,1583
1327,2432,1587
1328,2438,1585
1329,2446,1591
1330,2453,1597
1331,2451,1593
1332,2456,1598
1333,2455,1604
1334,2456,1607
1335,2455,1611
1336,2461,1606
1337,2464,1611
1338,2472,1612
1339,2473,1613
1340,2474,1618
1341,2471,1619
1342,2479,1625
1343,2479,1623
1344,2480,1629
1345,2485,1635
1346,2488,1630
1347,2491,1631
1348,2494,1636
1349,2492,1642
1350,2490,1643
1351,2488,1641
1352,2494,1647
1353,2495,1642
1354,2491,1647
1355,2490,1651
1356,2489,1646
1357,2490,1645
1358,2497,1643
1359,2494,1643
1360,2488,1644
1361,2485,1649
1362,2487,1644
1363,2491,1642
1364,2491,1637
1365,2487,1636
1366,2481,1636
1367,2488,1635
1368,2492,1634
1369,2498,1632
1370,2499,1634
1371,2503,1633
1372,2504,1635
1373,2499,1637
1374,2505,1632
1375,2507,1627
1376,2504,1629
1377,2507,1634
1378,2502,1634
1379,2504,1634
1380,2508,1639
1381,2503,1637
1382,2509,1632
1383,2512,1631
1384,2508,1631
1385,2503,1634
1386,2498,1634
1387,2495,1632
1388,2491,1633
1389,2498,1634
1390,2492,1632
1391,2492,1637
1392,2494,1633
1393,2490,1630
1394,2490,1636
1395,2496,1641
1396,2497,1637
1397,2501,1633
1398,2505,1638
1399,2504,1638
1400,2500,1642
1401,2504,1639
1402,2499,1636
1403,2493,1638
1404,2499,1637
1405,2506,1633
1406,2500,1631
1407,2501,1626
1408,2505,1623
1409,2503,1619
1410,2508,1618
1411,2504,1617
1412,2508,1613
1413,2502,1615
1414,2510,1615
1415,2518,1616
1416,2523,1619
1417,2529,1619
1418,2537,1623
1419,2537,1627
1420,2539,1623
1421,2535,1623
1422,2533,1627
1423,2530,1631
1424,2526,1634
1425,2529,1629
1426,2524,1624
1427,2523,1627
1428,2519,1629
1429,2518,1627
1430,2520,1623
1431,2514,1625
1432,2521,1627
1433,2517,1632
1434,2511,1628
1435,2511,1623
1436,2510,1628
1437,2508,1630
1438,2506,1630
1439,2509,1635
1440,2503,1632
1441,2505,1633
1442,2504,1631
1443,2498,1633
1444,2504,1639
1445,2510,1645
1446,2506,1648
1447,2504,1653
1448,2510,1649
1449,2512,1651
1450,2513,1646
1451,2518,1652
1452,2513,1656
1453,2513,1661
1454,2520,1662
1455,2526,1659
1456,2522,1654
1457,2528,1655
1458,2527,1659
1459,2526,1662
1460,2520,1664
1461,2527,1670
1462,2527,1673
1463,2533,1671
1464,2532,1669
1465,2529,1673
1466,2534,1674
1467,2528,1675
1468,2531,1677
1469,2530,1673
1470,2532,1669
1471,2538,1666
1472,2542,1664
1473,2537,1670
1474,2534,1675
1475,2533,1670
1476,2533,1670
1477,2539,1671
1478,2536,1675
1479,2537,1677
1480,2538,1682
1481,2543,1679
1482,2537,1674
1483,2532,1672
1484,2530,1678
1485,2538,1684
1486,2534,1689
1487,2537,1692
1488,2532,1694
1489,2537,1693
1490,2534,1688
1491,2528,1694
1492,2523,1694
1493,2525,1695
1494,2524,1695
1495,2531,1698
1496,2535,1693
1497,2539,1698
1498,2537,1694
1499,2538,1697
1500,2535,1695
1501,2532,1699
1502,2535,1702
1503,2543,1699
1504,2543,1697
1505,2541,1703
1506,2540,1699
1507,2547,1704
1508,2553,1710
1509,2561,1715
1510,2565,1719
1511,2567,1716
1512,2572,1715
1513,2579,1717
1514,2574,1721
1515,2579,1723
1516,2574,1721
1517,2578,1725
1518,2585,1720
1519,2590,1718
1520,2585,1715
1521,2587,1712
1522,2592,1714
1523,2592,1709
1524,2590,1708
1525,2588,1709
1526,2584,1715
1527,2590,1710
1528,2587,1712
1529,2590,1715
1530,2588,1712
1531,2587,1714
1532,2582,1713
1533,2582,1710
1534,2587,1712
1535,2592,1712
1536,2590,1711
1537,2596,1716
1538,2603,1717
1539,2598,1717
1540,2598,1714
1541,2595,1713
1542,2589,1713
1543,2587,1709
1544,2584,1711
1545,2581,1714
1546,2583,1714
1547,2587,1711
1548,2581,1717
1549,2575,1714
1550,2573,1720
1551,2568,1715
1552,2575,1721
1553,2579,1722
1554,2576,1721
1555,2578,1716
1556,2580,1715
1557,2585,1719
1558,2580,1723
1559,2574,1722
1560,2576,1719
1561,2570,1720
1562,2573,1721
1563,2580,1723
1564,2576,1728
1565,2580,1723
1566,2581,1725
1567,2582,1731
1568,2580,1733
1569,2586,1738
1570,2583,1743
1571,2583,1741
1572,2577,1738
1573,2584,1734
1574,2588,1738
1575,2594,1742
1576,2600,1743
1577,2608,1741
1578,2614,1739
1579,2618,1745
1580,2619,1744
1581,2621,1745
1582,2629,1750
1583,2629,1747
1584,2637,1753
1585,2631,1757
1586,2637,1757
1587,2645,1754
1588,2643,1751
1589,2645,1752
1590,2639,1752
1591,2642,1751
1592,2646,1756
1593,2650,1753
1594,2654,1751
1595,2662,1754
1596,2657,1760
1597,2662,1764
1598,2657,1762
1599,2660,1763
1600,2668,1758
1601,2666,1753
1602,2672,1750
1603,2680,1754
1604,2687,1754
1605,2682,1760
1606,2685,1760
1607,2688,1755
1608,2693,1761
1609,2692,1757
1610,2692,1760
1611,2696,1759
1612,2697,1764
1613,2705,1761
1614,2703,1756
1615,2697,1754
1616,2698,1752
1617,2692,1754
1618,2691,1759
1619,2686,1756
1620,2694,1751
1621,2698,1749
1622,2704,1747
1623,2711,1743
1624,2716,1742
1625,2723,1745
1626,2722,1745
1627,2716,1743
1628,2720,1738
1629,2725,1740
1630,2729,1736
1631,2731,1734
1632,2730,1729
1633,2724,1726
1634,2728,1728
1635,2730,1729
1636,2725,1731
1637,2727,1732
1638,2731,1732
1639,2735,1732
1640,2733,1732
1641,2737,1738
1642,2735,1744
1643,2738,1744
1644,2745,1747
1645,2753,1744
1646,2758,1749
1647,2766,1752
1648,2764,1750
1649,2767,1754
1650,2770,1754
1651,2766,1757
1652,2764,1759
1653,2771,1762
1654,2766,1758
1655,2770,1763
1656,2774,1759
1657,2769,1762
1658,2769,1765
1659,2765,1768
1660,2764,1770
1661,2771,1772
1662,2766,1771
1663,2763,1768
1664,2759,1767
1665,2753,1772
1666,2749,1776
1667,2746,1778
